#(Trening) mape skaluje do wymiarow 100x100  [lines d start_x1 start_y1 start_x2 start_y2 start_x3 start_y3 start_x4 start_y4 n_checkpoints 2<checkpoints,,,] [x y]
361 10,0  50,000   54,000   50,000   56,500   50,000   58,500   50,000   61,000 4 2  78 150 234
      50,0000   57,3438
   50,6779   57,3550
   51,3558   57,3662
   52,0337   57,3775
   52,7116   57,3887
   53,3895   57,3999
   54,0674   57,4112
   54,7453   57,4224
   55,4232   57,4336
   56,1011   57,4449
   56,7790   57,4561
   57,4569   57,4673
   58,1348   57,4786
   58,8127   57,4898
   59,4906   57,5011
   60,1685   57,5123
   60,8464   57,5235
   61,5243   57,5348
   62,2022   57,5460
   62,8801   57,5572
   63,5581   57,5685
   64,2360   57,5797
   64,9139   57,5909
   65,5918   57,6022
   66,2697   57,6134
   66,9476   57,6246
   67,6255   57,6359
   68,3034   57,6471
   68,9813   57,6584
   69,6592   57,6696
   70,3371   57,6808
   71,0150   57,6921
   71,6929   57,7033
   72,3708   57,7145
   73,0487   57,7258
   73,7266   57,7370
   74,4045   57,7482
   75,0824   57,7595
   75,7603   57,7707
   76,4382   57,7820
   77,1161   57,7932
   77,7940   57,8044
   78,4719   57,8157
   79,1498   57,8269
   79,8277   57,8381
   80,5056   57,8494
   81,1835   57,8606
   81,8614   57,8718
   82,5393   57,8831
   82,8631   57,8943
   83,1626   57,8999
   83,4617   57,8941
   83,7599   57,8771
   84,0568   57,8488
   84,3519   57,8094
   84,6448   57,7588
   84,9351   57,6972
   85,2223   57,6248
   85,5060   57,5415
   85,7858   57,4477
   86,0612   57,3433
   86,3319   57,2287
   86,5974   57,1040
   86,8575   56,9694
   87,1116   56,8252
   87,3594   56,6716
   87,6005   56,5087
   87,8347   56,3370
   88,0615   56,1567
   88,2806   55,9681
   88,4917   55,7715
   88,6945   55,5671
   88,8887   55,3555
   89,0739   55,1368
   89,2501   54,9114
   89,4168   54,6798
   89,5738   54,4422
   89,7210   54,1992
   89,8581   53,9509
   89,9849   53,6980
   90,1012   53,4407
   90,2069   53,1795
   90,3019   52,9147
   90,3859   52,6469
   90,4590   52,3765
   90,5209   52,1039
   90,5716   51,8295
   90,6111   51,5537
   90,6394   51,2771
   90,6562   51,0000
   90,6562   51,0000
   90,6450   50,9888
   90,6281   50,6892
   90,5999   50,3901
   90,5604   50,0919
   90,5097   49,7950
   90,4477   49,4999
   90,3747   49,2070
   90,2906   48,9167
   90,1957   48,6295
   90,0900   48,3458
   89,9736   48,0661
   89,8468   47,7906
   89,7098   47,5199
   89,5626   47,2544
   89,4055   46,9944
   89,2388   46,7403
   89,0627   46,4924
   88,8774   46,2513
   88,6832   46,0171
   88,4805   45,7903
   88,2694   45,5712
   88,0503   45,3601
   87,8235   45,1573
   87,5893   44,9632
   87,3481   44,7779
   87,1003   44,6018
   86,8462   44,4351
   86,5862   44,2780
   86,3207   44,1308
   86,0500   43,9937
   85,7745   43,8669
   85,4947   43,7506
   85,2111   43,6449
   84,9239   43,5499
   84,6336   43,4659
   84,3407   43,3929
   84,0456   43,3309
   83,7487   43,2802
   83,4505   43,2407
   83,1514   43,2125
   82,8518   43,1956
   82,8406   43,1843
   82,1627   43,1731
   81,4848   43,1619
   80,8069   43,1506
   80,1290   43,1394
   79,4511   43,1282
   78,7732   43,1169
   78,0953   43,1057
   77,4174   43,0945
   76,7395   43,0832
   76,0616   43,0720
   75,3837   43,0607
   74,7058   43,0495
   74,0279   43,0383
   73,3500   43,0270
   72,6721   43,0158
   71,9941   43,0046
   71,3162   42,9933
   70,6383   42,9821
   69,9604   42,9709
   69,2825   42,9596
   68,6046   42,9484
   67,9267   42,9371
   67,2488   42,9259
   66,5709   42,9147
   65,8930   42,9034
   65,2151   42,8922
   64,5372   42,8810
   63,8593   42,8697
   63,1814   42,8585
   62,5035   42,8473
   61,8256   42,8360
   61,1477   42,8248
   60,4698   42,8136
   59,7919   42,8023
   59,1140   42,7911
   58,4361   42,7798
   57,7582   42,7686
   57,0803   42,7574
   56,4024   42,7461
   55,7245   42,7349
   55,0466   42,7237
   54,3687   42,7124
   53,6908   42,7012
   53,0129   42,6900
   52,3350   42,6787
   51,6571   42,6675
   50,9792   42,6562
   50,3125   42,6562
   49,6458   42,6562
   48,9679   42,6450
   48,2900   42,6338
   47,6121   42,6225
   46,9342   42,6113
   46,2563   42,6001
   45,5784   42,5888
   44,9005   42,5776
   44,2226   42,5664
   43,5447   42,5551
   42,8668   42,5439
   42,1889   42,5327
   41,5110   42,5214
   40,8331   42,5102
   40,1552   42,4989
   39,4773   42,4877
   38,7994   42,4765
   38,1215   42,4652
   37,4436   42,4540
   36,7657   42,4428
   36,0878   42,4315
   35,4099   42,4203
   34,7320   42,4091
   34,0541   42,3978
   33,3762   42,3866
   32,6983   42,3754
   32,0204   42,3641
   31,3425   42,3529
   30,6646   42,3416
   29,9867   42,3304
   29,3088   42,3192
   28,6309   42,3079
   27,9529   42,2967
   27,2750   42,2855
   26,5971   42,2742
   25,9192   42,2630
   25,2413   42,2518
   24,5634   42,2405
   23,8855   42,2293
   23,2076   42,2180
   22,5297   42,2068
   21,8518   42,1956
   21,1739   42,1843
   20,4960   42,1731
   19,8181   42,1619
   19,1402   42,1506
   18,4623   42,1394
   17,7844   42,1282
   17,1482   42,1169
   16,8486   42,1113
   16,5495   42,1171
   16,2513   42,1341
   15,9544   42,1624
   15,6593   42,2019
   15,3664   42,2524
   15,0761   42,3140
   14,7889   42,3865
   14,5053   42,4697
   14,2255   42,5636
   13,9500   42,6679
   13,6793   42,7825
   13,4138   42,9072
   13,1538   43,0418
   12,8997   43,1860
   12,6519   43,3397
   12,4107   43,5025
   12,1765   43,6742
   11,9497   43,8545
   11,7306   44,0431
   11,5195   44,2398
   11,3168   44,4441
   11,1226   44,6558
   10,9373   44,8745
   10,7612   45,0998
   10,5945   45,3314
   10,4374   45,5690
   10,2902   45,8121
   10,1532   46,0603
   10,0264   46,3133
    9,9100   46,5706
    9,8043   46,8318
    9,7094   47,0965
    9,6253   47,3643
    9,5523   47,6347
    9,4903   47,9074
    9,4396   48,1818
    9,4001   48,4575
    9,3719   48,7342
    9,3550   49,0112
    9,3438   49,0000
    9,3438   49,0000
    9,3606   49,2996
    9,3889   49,5987
    9,4284   49,8969
    9,4791   50,1938
    9,5410   50,4889
    9,6141   50,7818
    9,6981   51,0720
    9,7931   51,3592
    9,8988   51,6429
   10,0151   51,9227
   10,1419   52,1981
   10,2790   52,4688
   10,4262   52,7344
   10,5832   52,9944
   10,7499   53,2485
   10,9261   53,4963
   11,1113   53,7375
   11,3055   53,9716
   11,5083   54,1984
   11,7194   54,4175
   11,9385   54,6286
   12,1653   54,8314
   12,3995   55,0256
   12,6406   55,2109
   12,8884   55,3870
   13,1425   55,5537
   13,4026   55,7108
   13,6681   55,8579
   13,9388   55,9950
   14,2142   56,1218
   14,4940   56,2382
   14,7777   56,3439
   15,0649   56,4388
   15,3552   56,5229
   15,6481   56,5959
   15,9432   56,6578
   16,2401   56,7086
   16,5383   56,7481
   16,8374   56,7763
   17,1369   56,7932
   17,1482   56,8044
   17,8261   56,8157
   18,5040   56,8269
   19,1819   56,8381
   19,8598   56,8494
   20,5377   56,8606
   21,2156   56,8718
   21,8935   56,8831
   22,5714   56,8943
   23,2493   56,9055
   23,9272   56,9168
   24,6051   56,9280
   25,2830   56,9393
   25,9609   56,9505
   26,6388   56,9617
   27,3167   56,9730
   27,9946   56,9842
   28,6725   56,9954
   29,3504   57,0067
   30,0283   57,0179
   30,7062   57,0291
   31,3841   57,0404
   32,0620   57,0516
   32,7399   57,0629
   33,4178   57,0741
   34,0957   57,0853
   34,7736   57,0966
   35,4515   57,1078
   36,1294   57,1190
   36,8074   57,1303
   37,4853   57,1415
   38,1632   57,1527
   38,8411   57,1640
   39,5190   57,1752
   40,1969   57,1864
   40,8748   57,1977
   41,5527   57,2089
   42,2306   57,2202
   42,9085   57,2314
   43,5864   57,2426
   44,2643   57,2539
   44,9422   57,2651
   45,6201   57,2763
   46,2980   57,2876
   46,9759   57,2988
   47,6538   57,3100
   48,3317   57,3213
   49,0096   57,3325
   49,6875   57,3438
